,heur_naive,heur_naive_bis,heur_naive_triee_selon_poids,heur_naive_triee_selon_poids_depl_obj,heur_naive_triee_selon_poids_depl_obj_bis,heur_naive_triee_selon_poids_depl_obj_ter
bench_16_8,43,44,34,34,39,39
bench_16_9,29,50,57,51,30,30
bench_16_10,42,59,61,52,37,37
bench_16_11,62,107,47,37,61,61
bench_16_12,38,48,58,58,49,49
bench_16_13,75,84,61,46,42,43
bench_16_14,59,76,38,38,30,30
bench_16_15,140,144,70,70,71,71
bench_16_16,52,76,40,34,37,41
bench_16_17,55,52,66,55,41,49
bench_16_18,71,68,41,33,29,29
bench_16_19,27,68,48,43,29,28
bench_17_0,38,70,40,34,16,16
bench_17_1,39,52,41,33,35,35
bench_17_2,49,68,39,34,25,31
bench_17_3,53,74,54,48,23,23
bench_17_4,42,48,56,56,51,51
bench_17_5,47,72,66,61,28,29
bench_17_6,40,39,53,42,29,39
bench_17_7,32,57,47,41,34,40
bench_17_8,36,51,41,32,29,35
bench_17_9,23,33,17,17,24,28
bench_17_10,54,57,43,43,55,56
bench_17_11,95,123,94,94,34,34
bench_17_12,78,67,28,25,24,24
bench_17_13,43,33,34,34,27,27
bench_17_14,60,77,61,51,27,27
bench_17_15,55,102,53,50,22,22
bench_17_16,73,118,75,65,18,18
bench_17_17,18,35,45,37,16,16
bench_17_18,31,54,59,53,32,32
bench_17_19,34,48,36,36,20,20
bench_18_0,58,91,78,73,35,34
bench_18_1,53,86,54,54,32,32
bench_18_2,40,52,25,19,25,25
bench_18_3,33,56,40,40,24,24
bench_18_4,37,44,31,31,36,38
bench_18_5,49,52,41,36,44,45
bench_18_6,32,42,33,23,19,19
bench_18_7,27,35,38,30,32,31
bench_18_8,32,44,44,37,26,29
bench_18_9,25,33,34,21,23,23
bench_18_10,34,56,42,35,19,24
bench_18_11,28,31,33,33,19,23
bench_18_12,17,31,30,24,11,11
bench_18_13,31,50,32,32,20,20
bench_18_14,23,29,38,31,18,18
bench_18_15,24,61,40,34,30,30
bench_18_16,55,63,69,59,33,36
bench_18_17,47,57,50,40,39,47
bench_18_18,29,37,28,28,16,20
bench_18_19,31,53,62,56,22,22
bench_19_0,38,32,34,27,26,30
bench_19_1,38,59,48,41,19,19
bench_19_2,35,66,43,34,15,15
bench_19_3,20,43,17,17,17,17
bench_19_4,30,41,36,26,23,26
bench_19_5,26,31,53,53,35,35
bench_19_6,37,47,30,30,23,25
bench_19_7,48,93,55,55,52,58
bench_19_8,34,60,41,31,40,43
bench_19_9,36,38,31,31,19,19
bench_19_10,89,115,50,49,60,57
